merchant_key,merchant_name,public_entity,ticker,exchange,listing_status,financial_data_level,provider_set,provider_count,public_match_audit_status,official_url_candidates,confirmed_bnpl_adoption_date,confirmed_bnpl_provider,confirmed_date_type,confirmed_evidence_strength,confirmed_evidence_source_type,confirmed_evidence_url,confirmed_evidence_quote_or_note,weak_provider_directory_first_observed_date,weak_provider_directory_provider,weak_provider_directory_url,weak_provider_directory_wayback_url,weak_provider_directory_cdx_error,research_notes
amazon,Amazon,"Amazon.com, Inc.",AMZN,NASDAQ,direct_public,merchant_level,afterpay; clearpay; klarna; zip,4,auto_public_match_needs_light_review,https://finance.yahoo.com/quote/AMZN,2021/11/10,affirm,official_general_availability,strong,provider_financial_release,https://investors.affirm.com/news-releases/news-release-details/affirm-reports-fyq1-2022-results/,Affirm reported that Amazon.com and the Amazon shopping app would generally support Affirm for eligible U.S. purchases at checkout.,2021/9/23,zip,https://zip.co/us/store/amazon,https://web.archive.org/web/20210923075340/https://zip.co/us/store/amazon,,"Do not use provider-directory date as formal adoption date unless cross-validated with merchant page, press release, or Wayback official-page evidence. Manual evidence: affirm 2021-08-27 testing_or_planned_rollout [planned_not_final_adoption]: https://investors.affirm.com/news-releases/news-release-details/amazon-partners-with-affirm | affirm 2021-11-10 official_general_availability [strong]: https://investors.affirm.com/news-releases/news-release-details/affirm-reports-fyq1-2022-results/"
apple,Apple,Apple Inc.,AAPL,NASDAQ,direct_public,merchant_level,affirm; afterpay; klarna; zip,4,auto_public_match_needs_light_review,https://www.apple.com/store; https://www.apple.com/in/store; https://finance.yahoo.com/quote/AAPL,,,,,,,,2021/9/21,zip,https://zip.co/us/store/apple,https://web.archive.org/web/20210921224941/https://zip.co/us/store/apple,,"Do not use provider-directory date as formal adoption date unless cross-validated with merchant page, press release, or Wayback official-page evidence. Manual evidence: affirm 2024-09-16 platform_integration_not_merchant_adoption [not_merchant_adoption]: https://investors.affirm.com/news-releases/news-release-details/affirm-live-when-checking-out-online-or-app-apple-pay | affirm 2025-09-15 platform_in_store_expansion_not_merchant_adoption [not_merchant_adoption]: https://investors.affirm.com/news-releases/news-release-details/affirm-live-store-purchases-apple-pay-iphone"
gamestop,GameStop,GameStop Corp.,GME,NYSE,direct_public,merchant_level,affirm; afterpay; klarna; zip,4,auto_public_match_needs_light_review,https://www.gamestop.com/; https://finance.yahoo.com/quote/GME,,,,,,,,2024/5/28,afterpay,https://www.afterpay.com/en-us/stores/gamestop,http://web.archive.org/web/20240528164447/https://www.afterpay.com/en-US/stores/gamestop,,"Do not use provider-directory date as formal adoption date unless cross-validated with merchant page, press release, or Wayback official-page evidence."
jdsports,JDSports,JD Sports Fashion plc,JD.L,London Stock Exchange,direct_public,merchant_level,afterpay; clearpay; klarna; zip,4,confirmed_or_manually_mapped_public,https://www.jdsportsfashion.com/investors/,2024/11/26,affirm,official_partnership_announcement,medium_provider_release,provider_press_release,https://investors.affirm.com/news-releases/news-release-details/jd-sports-partners-affirm-offer-flexible-payment-options-just/,Affirm announced JD Sports and Finish Line partnership for U.S. stores and Affirm app shopping.,2020/8/5,clearpay,https://www.clearpay.co.uk/en-GB/stores/jd-sports-50324,http://web.archive.org/web/20200805021806/https://www.clearpay.co.uk/en-GB/stores/jd-sports-50324,,"Do not use provider-directory date as formal adoption date unless cross-validated with merchant page, press release, or Wayback official-page evidence. Manual evidence: affirm 2024-11-26 official_partnership_announcement [medium_provider_release]: https://investors.affirm.com/news-releases/news-release-details/jd-sports-partners-affirm-offer-flexible-payment-options-just/"
lowes,Lowe's,"Lowe's Companies, Inc.",LOW,NYSE,direct_public,merchant_level,affirm; afterpay; klarna; zip,4,auto_public_match_needs_light_review,https://www.lowes.com/; https://finance.yahoo.com/quote/LOW,2026/2/17,affirm,official_adoption_announcement,strong,provider_press_release,https://investors.affirm.com/news-releases/news-release-details/affirm-and-lowes-team-give-home-improvement-customers-more,Affirm and Lowe's announced Affirm payment plans online and in the Lowe's mobile app.,2023/1/29,zip,https://zip.co/us/store/lowes,http://web.archive.org/web/20230129215652/https://zip.co/us/store/lowes,,"Do not use provider-directory date as formal adoption date unless cross-validated with merchant page, press release, or Wayback official-page evidence. Manual evidence: affirm 2026-02-17 official_adoption_announcement [strong]: https://investors.affirm.com/news-releases/news-release-details/affirm-and-lowes-team-give-home-improvement-customers-more"
nike,Nike,"NIKE, Inc.",NKE,NYSE,direct_public,merchant_level,affirm; afterpay; klarna; zip,4,auto_public_match_needs_light_review,https://www.nike.com/w/gifts-3b0uf; https://finance.yahoo.com/quote/NKE,,,,,,,,2021/9/23,zip,https://zip.co/us/store/nike,https://web.archive.org/web/20210923080102/https://zip.co/us/store/nike,,"Do not use provider-directory date as formal adoption date unless cross-validated with merchant page, press release, or Wayback official-page evidence."
adidas,adidas,adidas AG,ADS.DE,XETRA,direct_public,merchant_level,affirm; afterpay; klarna; zip,4,auto_public_match_needs_light_review,https://www.adidas.com/us/; https://finance.yahoo.com/quote/ADS.DE,2021/6/6,afterpay_klarna,first_observed_official_page,strong_wayback_official_page,wayback_official_payment_page,http://web.archive.org/web/20210606023452/https://www.adidas.com/us/help/us-payments/afterpay-frequently-asked-questions,Wayback snapshot of adidas official Afterpay FAQ shows Afterpay/Klarna installment checkout language.,2021/9/23,zip,https://zip.co/us/store/adidas,http://web.archive.org/web/20210923093757/https://zip.co/us/store/adidas,,"Do not use provider-directory date as formal adoption date unless cross-validated with merchant page, press release, or Wayback official-page evidence. Manual evidence: afterpay_klarna 2021-06-06 first_observed_official_page [strong_wayback_official_page]: http://web.archive.org/web/20210606023452/https://www.adidas.com/us/help/us-payments/afterpay-frequently-asked-questions"
anthropologie,anthropologie,"Urban Outfitters, Inc.",URBN,NASDAQ,subsidiary_of_public,parent_level,affirm; afterpay; clearpay; zip,4,confirmed_or_manually_mapped_public,https://www.anthropologie.com/; https://www.urbn.com/investor-relations,2022/5/17,klarna,us_expansion_report,medium_news_report,news_report,https://www.pymnts.com/bnpl/2022/klarna-expands-urban-outfitters-anthropologie-partnership-to-us/,PYMNTS reported Klarna expanded Pay in 4 online to Urban Outfitters and Anthropologie banners in the U.S.,2020/9/22,clearpay,https://www.clearpay.co.uk/en-GB/stores/anthropologie,http://web.archive.org/web/20200922235049/https://www.clearpay.co.uk/en-GB/stores/anthropologie,,"Do not use provider-directory date as formal adoption date unless cross-validated with merchant page, press release, or Wayback official-page evidence. Manual evidence: klarna 2020-11-18 official_europe_online_checkout_adoption [strong_non_us]: https://www.klarna.com/international/press/urban-outfitters-and-anthropologie-partners-with-klarna-ahead-of-peak/ | klarna 2022-05-17 us_expansion_report [medium_news_report]: https://www.pymnts.com/bnpl/2022/klarna-expands-urban-outfitters-anthropologie-partnership-to-us/"
lululemon,lululemon,lululemon athletica inc.,LULU,NASDAQ,direct_public,merchant_level,affirm; afterpay; klarna; zip,4,confirmed_or_manually_mapped_public,https://shop.lululemon.com/story/holiday-gift-guide; https://corporate.lululemon.com/investors,2021/2/3,afterpay_klarna,first_observed_official_page,strong_wayback_official_page,wayback_official_payment_page,https://web.archive.org/web/20210203183126/https://shop.lululemon.com/story/installment-payments-buy-now-pay-later,Wayback snapshot of lululemon official Buy Now Pay Later page shows Afterpay and Klarna payment-plan language.,2021/9/23,zip,https://zip.co/us/store/lululemon,http://web.archive.org/web/20210923081630/https://zip.co/us/store/lululemon,,"Do not use provider-directory date as formal adoption date unless cross-validated with merchant page, press release, or Wayback official-page evidence. Manual evidence: afterpay_klarna 2021-02-03 first_observed_official_page [strong_wayback_official_page]: https://web.archive.org/web/20210203183126/https://shop.lululemon.com/story/installment-payments-buy-now-pay-later"
rayban,rayban,EssilorLuxottica SA,EL.PA,Euronext Paris,subsidiary_of_public,parent_level,affirm; afterpay; klarna; zip,4,confirmed_or_manually_mapped_public,https://www.ray-ban.com/usa/sunglasses/view-all; https://www.essilorluxottica.com/investors/,2019/6/11,afterpay,reported_afterpay_partnership,medium_news_report,news_report,https://www.retaildive.com/news/afterpay-brings-payment-installments-to-levis-ray-ban/556464/,Retail Dive reported Afterpay brought installment payments to Levi's and Ray-Ban.,2025/2/20,klarna,https://www.klarna.com/us/store/9f6596d0-2abb-4d4e-aece-3835421d4c7f/ray-ban/pay-with-klarna/,http://web.archive.org/web/20250220013422/https://www.klarna.com/us/store/9f6596d0-2abb-4d4e-aece-3835421d4c7f/Ray-Ban/pay-with-klarna/,,"Do not use provider-directory date as formal adoption date unless cross-validated with merchant page, press release, or Wayback official-page evidence. Manual evidence: afterpay 2019-06-11 reported_afterpay_partnership [medium_news_report]: https://www.retaildive.com/news/afterpay-brings-payment-installments-to-levis-ray-ban/556464/"
