merchant_key,ticker,sec_cik,sec_title,sec_companyfacts_url,sec_entity_name,fetch_status,metrics_found,error
amazon,AMZN,1018724,AMAZON COM INC,https://data.sec.gov/api/xbrl/companyfacts/CIK0001018724.json,AMAZON COM INC,ok,revenue; gross_profit; operating_income; net_income; total_assets; capex; cash,
lowes,LOW,60667,LOWES COMPANIES INC,https://data.sec.gov/api/xbrl/companyfacts/CIK0000060667.json,"LOWE’S COMPANIES, INC.",ok,revenue; gross_profit; operating_income; net_income; total_assets; sga; capex; cash,
anthropologie,URBN,912615,URBAN OUTFITTERS INC,https://data.sec.gov/api/xbrl/companyfacts/CIK0000912615.json,"Urban Outfitters, Inc.",ok,revenue; gross_profit; operating_income; net_income; total_assets; sga; capex; cash,
lululemon,LULU,1397187,lululemon athletica inc.,https://data.sec.gov/api/xbrl/companyfacts/CIK0001397187.json,lululemon athletica inc.,ok,revenue; gross_profit; operating_income; net_income; total_assets; sga; capex; cash,
americaneagle,AEO,919012,AMERICAN EAGLE OUTFITTERS INC,https://data.sec.gov/api/xbrl/companyfacts/CIK0000919012.json,AMERICAN EAGLE OUTFITTERS INC,ok,revenue; gross_profit; operating_income; net_income; total_assets; sga; capex; cash,
expedia,EXPE,1324424,"Expedia Group, Inc.",https://data.sec.gov/api/xbrl/companyfacts/CIK0001324424.json,"EXPEDIA GROUP, INC.",ok,revenue; operating_income; net_income; total_assets; sga; capex; cash,
hotelscom,EXPE,1324424,"Expedia Group, Inc.",https://data.sec.gov/api/xbrl/companyfacts/CIK0001324424.json,"EXPEDIA GROUP, INC.",ok,revenue; operating_income; net_income; total_assets; sga; capex; cash,
instacart,CART,1579091,Maplebear Inc.,https://data.sec.gov/api/xbrl/companyfacts/CIK0001579091.json,MAPLEBEAR INC.,ok,revenue; gross_profit; operating_income; net_income; total_assets; sga; capex; cash,
princesspolly,AKA,1865107,A.K.A. BRANDS HOLDING CORP.,https://data.sec.gov/api/xbrl/companyfacts/CIK0001865107.json,a.k.a. Brands Holding Corp.,ok,revenue; gross_profit; operating_income; net_income; total_assets; capex; cash,
ticketmaster,LYV,1335258,"Live Nation Entertainment, Inc.",https://data.sec.gov/api/xbrl/companyfacts/CIK0001335258.json,"LIVE NATION ENTERTAINMENT, INC.",ok,revenue; operating_income; net_income; total_assets; sga; capex; cash,
walmart,WMT,104169,Walmart Inc.,https://data.sec.gov/api/xbrl/companyfacts/CIK0000104169.json,WALMART INC.,ok,revenue; operating_income; net_income; total_assets; sga; capex; cash,
academysportsoutdoors,ASO,1817358,"Academy Sports & Outdoors, Inc.",https://data.sec.gov/api/xbrl/companyfacts/CIK0001817358.json,"Academy Sports and Outdoors, Inc.",ok,revenue; gross_profit; operating_income; net_income; total_assets; sga; capex; cash,
airbnb,ABNB,1559720,"Airbnb, Inc.",https://data.sec.gov/api/xbrl/companyfacts/CIK0001559720.json,"Airbnb, Inc.",ok,revenue; operating_income; net_income; total_assets; sga; capex; cash,
dsw,DBI,1319947,Designer Brands Inc.,https://data.sec.gov/api/xbrl/companyfacts/CIK0001319947.json,DESIGNER BRANDS INC.,ok,revenue; gross_profit; operating_income; net_income; total_assets; sga; capex; cash,
ebay,EBAY,1065088,EBAY INC,https://data.sec.gov/api/xbrl/companyfacts/CIK0001065088.json,eBay Inc.,ok,revenue; gross_profit; operating_income; net_income; total_assets; sga; capex; cash,
gap,GAP,39911,GAP INC,https://data.sec.gov/api/xbrl/companyfacts/CIK0000039911.json,"GAP, INC",ok,revenue; gross_profit; operating_income; net_income; total_assets; capex; cash,
levis,LEVI,94845,LEVI STRAUSS & CO,https://data.sec.gov/api/xbrl/companyfacts/CIK0000094845.json,LEVI STRAUSS & CO,ok,revenue; gross_profit; operating_income; net_income; total_assets; sga; capex; cash,
macys,M,794367,"Macy's, Inc.",https://data.sec.gov/api/xbrl/companyfacts/CIK0000794367.json,"Macy's, Inc.",ok,revenue; gross_profit; operating_income; net_income; total_assets; sga; capex; cash,
michaelkors,CPRI,1530721,Capri Holdings Ltd,https://data.sec.gov/api/xbrl/companyfacts/CIK0001530721.json,Capri Holdings Ltd,ok,revenue; gross_profit; operating_income; net_income; total_assets; sga; capex; cash,
target,TGT,27419,TARGET CORP,https://data.sec.gov/api/xbrl/companyfacts/CIK0000027419.json,TARGET CORPORATION,ok,revenue; gross_profit; operating_income; net_income; total_assets; sga; capex; cash,
urbanoutfitters,URBN,912615,URBAN OUTFITTERS INC,https://data.sec.gov/api/xbrl/companyfacts/CIK0000912615.json,"Urban Outfitters, Inc.",ok,revenue; gross_profit; operating_income; net_income; total_assets; sga; capex; cash,
