merchant_key,sec_cik,sec_entity_name,calendar_year,period,capex,cash,gross_profit,net_income,operating_income,revenue,sga,total_assets,capex_xbrl_tag,cash_xbrl_tag,gross_profit_xbrl_tag,net_income_xbrl_tag,operating_income_xbrl_tag,revenue_xbrl_tag,sga_xbrl_tag,total_assets_xbrl_tag,sec_companyfacts_url,merchant_name,public_entity,ticker,exchange,listing_status,financial_data_level,public_match_audit_status,sample_main_direct_public,sample_parent_level_robustness,verified_broad_industry,verified_sub_industry,adoption_date,adoption_year,adoption_quarter,adoption_quarter_index,confirmed_date_type,confirmed_evidence_strength,confirmed_evidence_url,event_time,post_bnpl,gross_margin,operating_margin,net_margin,sga_to_revenue,capex_to_revenue,roa,log_revenue,revenue_lag,revenue_growth_yoy,operating_income_lag,operating_income_growth_yoy
1800flowers,1084869,1 800 FLOWERS COM INC,2012,2012,17180000.0,26964000.0,292577000.0,17646000.0,23727000.0,707517000.0,181199000.0,285145000.0,PaymentsToAcquirePropertyPlantAndEquipment,CashAndCashEquivalentsAtCarryingValue,GrossProfit,ProfitLoss,OperatingIncomeLoss,SalesRevenueNet,SellingAndMarketingExpense,Assets,https://data.sec.gov/api/xbrl/companyfacts/CIK0001084869.json,1800flowers,"1-800-FLOWERS.COM, Inc.",FLWS,NASDAQ,direct_public,merchant_level,confirmed_or_manually_mapped_public,True,False,Apparel & Fashion,Bags & accessories,2022-01-20,2022,2022Q1,8089,official_adoption_announcement,strong,https://www.1800flowersinc.com/news-and-media/newsroom/press-releases/2022/01-20-2022-130356804,-10,0,0.41352645943489696,0.03353558995755579,0.0249407434733017,0.2561055070054854,0.024282102055498314,0.06188430447666977,20.377272215461545,,,,
1800flowers,1084869,1 800 FLOWERS COM INC,2013,2013,22985000.0,3260000.0,315673000.0,14675000.0,23706000.0,756345000.0,194847000.0,283713000.0,PaymentsToAcquirePropertyPlantAndEquipment,CashAndCashEquivalentsAtCarryingValue,GrossProfit,ProfitLoss,OperatingIncomeLoss,SalesRevenueNet,SellingAndMarketingExpense,Assets,https://data.sec.gov/api/xbrl/companyfacts/CIK0001084869.json,1800flowers,"1-800-FLOWERS.COM, Inc.",FLWS,NASDAQ,direct_public,merchant_level,confirmed_or_manually_mapped_public,True,False,Apparel & Fashion,Bags & accessories,2022-01-20,2022,2022Q1,8089,official_adoption_announcement,strong,https://www.1800flowersinc.com/news-and-media/newsroom/press-releases/2022/01-20-2022-130356804,-9,0,0.41736641347533204,0.03134283957717708,0.01940252133616273,0.25761656386966264,0.03038957089687907,0.05172480640647415,20.444008179254524,707517000.0,0.06901318272211121,23727000.0,-0.0008850676444557282
1800flowers,1084869,1 800 FLOWERS COM INC,2014,2014,32572000.0,101220000.0,487195000.0,19384000.0,37617000.0,1121506000.0,299801000.0,594092000.0,PaymentsToAcquirePropertyPlantAndEquipment,CashAndCashEquivalentsAtCarryingValue,GrossProfit,ProfitLoss,OperatingIncomeLoss,SalesRevenueNet,SellingAndMarketingExpense,Assets,https://data.sec.gov/api/xbrl/companyfacts/CIK0001084869.json,1800flowers,"1-800-FLOWERS.COM, Inc.",FLWS,NASDAQ,direct_public,merchant_level,confirmed_or_manually_mapped_public,True,False,Apparel & Fashion,Bags & accessories,2022-01-20,2022,2022Q1,8089,official_adoption_announcement,strong,https://www.1800flowersinc.com/news-and-media/newsroom/press-releases/2022/01-20-2022-130356804,-8,0,0.43441140751810514,0.033541505796669834,0.017283902181530905,0.26732001433786357,0.029043090273257566,0.032627943146852675,20.837938261887935,756345000.0,0.48279687179792297,23706000.0,0.5868134649455834
1800flowers,1084869,1 800 FLOWERS COM INC,2015,2015,,108444000.0,,,,,,635342000.0,,CashAndCashEquivalentsAtCarryingValue,,,,,,Assets,https://data.sec.gov/api/xbrl/companyfacts/CIK0001084869.json,1800flowers,"1-800-FLOWERS.COM, Inc.",FLWS,NASDAQ,direct_public,merchant_level,confirmed_or_manually_mapped_public,True,False,Apparel & Fashion,Bags & accessories,2022-01-20,2022,2022Q1,8089,official_adoption_announcement,strong,https://www.1800flowersinc.com/news-and-media/newsroom/press-releases/2022/01-20-2022-130356804,-7,0,,,,,,,,1121506000.0,,37617000.0,
1800flowers,1084869,1 800 FLOWERS COM INC,2016,2016,33938000.0,113992000.0,517458000.0,35868000.0,43282000.0,1173024000.0,318175000.0,619000000.0,PaymentsToAcquirePropertyPlantAndEquipment,CashAndCashEquivalentsAtCarryingValue,GrossProfit,ProfitLoss,OperatingIncomeLoss,Revenues,SellingAndMarketingExpense,Assets,https://data.sec.gov/api/xbrl/companyfacts/CIK0001084869.json,1800flowers,"1-800-FLOWERS.COM, Inc.",FLWS,NASDAQ,direct_public,merchant_level,confirmed_or_manually_mapped_public,True,False,Apparel & Fashion,Bags & accessories,2022-01-20,2022,2022Q1,8089,official_adoption_announcement,strong,https://www.1800flowersinc.com/news-and-media/newsroom/press-releases/2022/01-20-2022-130356804,-6,0,0.4411316392503478,0.03689779578252449,0.030577379490956708,0.27124338461958153,0.028932059361104292,0.057945072697899835,20.882850866766496,,,,
1800flowers,1084869,1 800 FLOWERS COM INC,2017,2017,33653000.0,232589000.0,520281000.0,44041000.0,46359000.0,1193625000.0,317527000.0,648763000.0,PaymentsToAcquirePropertyPlantAndEquipment,CashAndCashEquivalentsAtCarryingValue,GrossProfit,NetIncomeLoss,OperatingIncomeLoss,RevenueFromContractWithCustomerExcludingAssessedTax,SellingAndMarketingExpense,Assets,https://data.sec.gov/api/xbrl/companyfacts/CIK0001084869.json,1800flowers,"1-800-FLOWERS.COM, Inc.",FLWS,NASDAQ,direct_public,merchant_level,confirmed_or_manually_mapped_public,True,False,Apparel & Fashion,Bags & accessories,2022-01-20,2022,2022Q1,8089,official_adoption_announcement,strong,https://www.1800flowersinc.com/news-and-media/newsroom/press-releases/2022/01-20-2022-130356804,-5,0,0.43588312912346844,0.038838831291234686,0.036896847837469895,0.26601905958739136,0.02819394701015813,0.06788457418194317,20.900260732234642,1173024000.0,0.01756230051559049,43282000.0,0.07109190887666927
1800flowers,1084869,1 800 FLOWERS COM INC,2018,2018,33306000.0,257685000.0,489025000.0,40791000.0,41048000.0,1151921000.0,298810000.0,685461000.0,PaymentsToAcquirePropertyPlantAndEquipment,CashAndCashEquivalentsAtCarryingValue,GrossProfit,NetIncomeLoss,OperatingIncomeLoss,RevenueFromContractWithCustomerExcludingAssessedTax,SellingAndMarketingExpense,Assets,https://data.sec.gov/api/xbrl/companyfacts/CIK0001084869.json,1800flowers,"1-800-FLOWERS.COM, Inc.",FLWS,NASDAQ,direct_public,merchant_level,confirmed_or_manually_mapped_public,True,False,Apparel & Fashion,Bags & accessories,2022-01-20,2022,2022Q1,8089,official_adoption_announcement,strong,https://www.1800flowersinc.com/news-and-media/newsroom/press-releases/2022/01-20-2022-130356804,-4,0,0.4245299807886131,0.03563438812210212,0.0354112825445495,0.2594014693715975,0.028913441112715196,0.05950885608371592,20.864696820479754,1193625000.0,-0.034938946486543054,46359000.0,-0.11456243663582044
1800flowers,1084869,1 800 FLOWERS COM INC,2019,2019,34703000.0,295561000.0,622196000.0,58998000.0,80364000.0,1489637000.0,363227000.0,826220000.0,PaymentsToAcquirePropertyPlantAndEquipment,CashAndCashEquivalentsAtCarryingValue,GrossProfit,NetIncomeLoss,OperatingIncomeLoss,RevenueFromContractWithCustomerExcludingAssessedTax,SellingAndMarketingExpense,Assets,https://data.sec.gov/api/xbrl/companyfacts/CIK0001084869.json,1800flowers,"1-800-FLOWERS.COM, Inc.",FLWS,NASDAQ,direct_public,merchant_level,confirmed_or_manually_mapped_public,True,False,Apparel & Fashion,Bags & accessories,2022-01-20,2022,2022Q1,8089,official_adoption_announcement,strong,https://www.1800flowersinc.com/news-and-media/newsroom/press-releases/2022/01-20-2022-130356804,-3,0,0.4176829657158086,0.053948713679909936,0.039605622040805914,0.24383591438719635,0.023296279563410415,0.07140713127254242,21.121798303061517,1151921000.0,0.2931763549757318,41048000.0,0.9578054960046773
1800flowers,1084869,1 800 FLOWERS COM INC,2020,2020,55219000.0,370586000.0,896429000.0,118652000.0,149087000.0,2122245000.0,533268000.0,1222260000.0,PaymentsToAcquirePropertyPlantAndEquipment,CashAndCashEquivalentsAtCarryingValue,GrossProfit,NetIncomeLoss,OperatingIncomeLoss,RevenueFromContractWithCustomerExcludingAssessedTax,SellingAndMarketingExpense,Assets,https://data.sec.gov/api/xbrl/companyfacts/CIK0001084869.json,1800flowers,"1-800-FLOWERS.COM, Inc.",FLWS,NASDAQ,direct_public,merchant_level,confirmed_or_manually_mapped_public,True,False,Apparel & Fashion,Bags & accessories,2022-01-20,2022,2022Q1,8089,official_adoption_announcement,strong,https://www.1800flowersinc.com/news-and-media/newsroom/press-releases/2022/01-20-2022-130356804,-2,0,0.4223965659007325,0.070249664859618,0.055908719304321605,0.25127541824812877,0.026019144820696952,0.09707590856282625,21.47574032758947,1489637000.0,0.42467258801976593,80364000.0,0.8551465830471354
1800flowers,1084869,1 800 FLOWERS COM INC,2021,2021,,271068000.0,,,,,,1321338000.0,,CashAndCashEquivalentsAtCarryingValue,,,,,,Assets,https://data.sec.gov/api/xbrl/companyfacts/CIK0001084869.json,1800flowers,"1-800-FLOWERS.COM, Inc.",FLWS,NASDAQ,direct_public,merchant_level,confirmed_or_manually_mapped_public,True,False,Apparel & Fashion,Bags & accessories,2022-01-20,2022,2022Q1,8089,official_adoption_announcement,strong,https://www.1800flowersinc.com/news-and-media/newsroom/press-releases/2022/01-20-2022-130356804,-1,0,,,,,,,,2122245000.0,,149087000.0,
