merchant_key,sec_cik,sec_entity_name,calendar_year,calendar_quarter,period,period_index,capex,cash,gross_profit,net_income,operating_income,revenue,sga,total_assets,capex_xbrl_tag,cash_xbrl_tag,gross_profit_xbrl_tag,net_income_xbrl_tag,operating_income_xbrl_tag,revenue_xbrl_tag,sga_xbrl_tag,total_assets_xbrl_tag,sec_companyfacts_url,merchant_name,public_entity,ticker,exchange,listing_status,financial_data_level,public_match_audit_status,sample_main_direct_public,sample_parent_level_robustness,verified_broad_industry,verified_sub_industry,adoption_date,adoption_year,adoption_quarter,adoption_quarter_index,confirmed_date_type,confirmed_evidence_strength,confirmed_evidence_url,event_time,post_bnpl,gross_margin,operating_margin,net_margin,sga_to_revenue,capex_to_revenue,roa,log_revenue,revenue_lag,revenue_growth_yoy,operating_income_lag,operating_income_growth_yoy
1800flowers,1084869,1 800 FLOWERS COM INC,2012,1,2012Q1,8049,,24876000.0,73039000.0,,155000.0,179659000.0,48598000.0,265252000.0,,CashAndCashEquivalentsAtCarryingValue,GrossProfit,,OperatingIncomeLoss,SalesRevenueNet,SellingAndMarketingExpense,Assets,https://data.sec.gov/api/xbrl/companyfacts/CIK0001084869.json,1800flowers,"1-800-FLOWERS.COM, Inc.",FLWS,NASDAQ,direct_public,merchant_level,confirmed_or_manually_mapped_public,True,False,Apparel & Fashion,Bags & accessories,2022-01-20,2022,2022Q1,8089,official_adoption_announcement,strong,https://www.1800flowersinc.com/news-and-media/newsroom/press-releases/2022/01-20-2022-130356804,-40,0,0.40654239420235,0.000862745534596096,,0.2705013386471037,,,19.0065711676806,,,,
1800flowers,1084869,1 800 FLOWERS COM INC,2012,2,2012Q2,8050,,28854000.0,,,,,,262213000.0,,CashAndCashEquivalentsAtCarryingValue,,,,,,Assets,https://data.sec.gov/api/xbrl/companyfacts/CIK0001084869.json,1800flowers,"1-800-FLOWERS.COM, Inc.",FLWS,NASDAQ,direct_public,merchant_level,confirmed_or_manually_mapped_public,True,False,Apparel & Fashion,Bags & accessories,2022-01-20,2022,2022Q1,8089,official_adoption_announcement,strong,https://www.1800flowersinc.com/news-and-media/newsroom/press-releases/2022/01-20-2022-130356804,-39,0,,,,,,,,,,,
1800flowers,1084869,1 800 FLOWERS COM INC,2012,3,2012Q3,8051,4427000.0,5829000.0,49425000.0,,-6202000.0,119592000.0,32723000.0,288143000.0,PaymentsToAcquirePropertyPlantAndEquipment,CashAndCashEquivalentsAtCarryingValue,GrossProfit,,OperatingIncomeLoss,SalesRevenueNet,SellingAndMarketingExpense,Assets,https://data.sec.gov/api/xbrl/companyfacts/CIK0001084869.json,1800flowers,"1-800-FLOWERS.COM, Inc.",FLWS,NASDAQ,direct_public,merchant_level,confirmed_or_manually_mapped_public,True,False,Apparel & Fashion,Bags & accessories,2022-01-20,2022,2022Q1,8089,official_adoption_announcement,strong,https://www.1800flowersinc.com/news-and-media/newsroom/press-releases/2022/01-20-2022-130356804,-38,0,0.4132801525185631,-0.051859656164291924,,0.27362198140343835,0.03701752625593685,,18.599596507611487,,,,
1800flowers,1084869,1 800 FLOWERS COM INC,2012,4,2012Q4,8052,,26964000.0,104485000.0,,25998000.0,253016000.0,54901000.0,285145000.0,,CashAndCashEquivalentsAtCarryingValue,GrossProfit,,OperatingIncomeLoss,SalesRevenueNet,SellingAndMarketingExpense,Assets,https://data.sec.gov/api/xbrl/companyfacts/CIK0001084869.json,1800flowers,"1-800-FLOWERS.COM, Inc.",FLWS,NASDAQ,direct_public,merchant_level,confirmed_or_manually_mapped_public,True,False,Apparel & Fashion,Bags & accessories,2022-01-20,2022,2022Q1,8089,official_adoption_announcement,strong,https://www.1800flowersinc.com/news-and-media/newsroom/press-releases/2022/01-20-2022-130356804,-37,0,0.4129580737977045,0.10275239510544788,,0.21698627754766497,,,19.34896328579888,,,,
1800flowers,1084869,1 800 FLOWERS COM INC,2013,1,2013Q1,8053,,17004000.0,80457000.0,2639000.0,4810000.0,191582000.0,51439000.0,269525000.0,,CashAndCashEquivalentsAtCarryingValue,GrossProfit,ProfitLoss,OperatingIncomeLoss,SalesRevenueNet,SellingAndMarketingExpense,Assets,https://data.sec.gov/api/xbrl/companyfacts/CIK0001084869.json,1800flowers,"1-800-FLOWERS.COM, Inc.",FLWS,NASDAQ,direct_public,merchant_level,confirmed_or_manually_mapped_public,True,False,Apparel & Fashion,Bags & accessories,2022-01-20,2022,2022Q1,8089,official_adoption_announcement,strong,https://www.1800flowersinc.com/news-and-media/newsroom/press-releases/2022/01-20-2022-130356804,-36,0,0.41996116545395706,0.025106742804647617,0.0137747805117391,0.2684959964923636,,0.009791299508394398,19.070826473367607,179659000.0,0.06636461296122098,155000.0,30.032258064516128
1800flowers,1084869,1 800 FLOWERS COM INC,2013,2,2013Q2,8054,,154000.0,,,,,,250073000.0,,CashAndCashEquivalentsAtCarryingValue,,,,,,Assets,https://data.sec.gov/api/xbrl/companyfacts/CIK0001084869.json,1800flowers,"1-800-FLOWERS.COM, Inc.",FLWS,NASDAQ,direct_public,merchant_level,confirmed_or_manually_mapped_public,True,False,Apparel & Fashion,Bags & accessories,2022-01-20,2022,2022Q1,8089,official_adoption_announcement,strong,https://www.1800flowersinc.com/news-and-media/newsroom/press-releases/2022/01-20-2022-130356804,-35,0,,,,,,,,,,,
1800flowers,1084869,1 800 FLOWERS COM INC,2013,3,2013Q3,8055,4131000.0,3642000.0,51297000.0,-4639000.0,-7081000.0,123048000.0,34479000.0,301679000.0,PaymentsToAcquirePropertyPlantAndEquipment,CashAndCashEquivalentsAtCarryingValue,GrossProfit,ProfitLoss,OperatingIncomeLoss,SalesRevenueNet,SellingAndMarketingExpense,Assets,https://data.sec.gov/api/xbrl/companyfacts/CIK0001084869.json,1800flowers,"1-800-FLOWERS.COM, Inc.",FLWS,NASDAQ,direct_public,merchant_level,confirmed_or_manually_mapped_public,True,False,Apparel & Fashion,Bags & accessories,2022-01-20,2022,2022Q1,8089,official_adoption_announcement,strong,https://www.1800flowersinc.com/news-and-media/newsroom/press-releases/2022/01-20-2022-130356804,-34,0,0.4168860932319095,-0.05754664846238866,-0.037700734672648076,0.28020772381509657,0.03357226448215331,-0.015377271868442947,18.628085081113785,119592000.0,0.028898254063816964,-6202000.0,-2.1417284746855856
1800flowers,1084869,1 800 FLOWERS COM INC,2013,4,2013Q4,8056,,3260000.0,110977000.0,17986000.0,28699000.0,266337000.0,57656000.0,283713000.0,,CashAndCashEquivalentsAtCarryingValue,GrossProfit,ProfitLoss,OperatingIncomeLoss,SalesRevenueNet,SellingAndMarketingExpense,Assets,https://data.sec.gov/api/xbrl/companyfacts/CIK0001084869.json,1800flowers,"1-800-FLOWERS.COM, Inc.",FLWS,NASDAQ,direct_public,merchant_level,confirmed_or_manually_mapped_public,True,False,Apparel & Fashion,Bags & accessories,2022-01-20,2022,2022Q1,8089,official_adoption_announcement,strong,https://www.1800flowersinc.com/news-and-media/newsroom/press-releases/2022/01-20-2022-130356804,-33,0,0.41667886925211295,0.10775446145297124,0.06753098518042931,0.21647762045829155,,0.06339505063215292,19.400272982176684,253016000.0,0.05264884434185979,25998000.0,0.1038926071236248
1800flowers,1084869,1 800 FLOWERS COM INC,2014,1,2014Q1,8057,,1314000.0,73543000.0,-1725000.0,-2880000.0,179591000.0,51581000.0,260985000.0,,CashAndCashEquivalentsAtCarryingValue,GrossProfit,ProfitLoss,OperatingIncomeLoss,SalesRevenueNet,SellingAndMarketingExpense,Assets,https://data.sec.gov/api/xbrl/companyfacts/CIK0001084869.json,1800flowers,"1-800-FLOWERS.COM, Inc.",FLWS,NASDAQ,direct_public,merchant_level,confirmed_or_manually_mapped_public,True,False,Apparel & Fashion,Bags & accessories,2022-01-20,2022,2022Q1,8089,official_adoption_announcement,strong,https://www.1800flowersinc.com/news-and-media/newsroom/press-releases/2022/01-20-2022-130356804,-32,0,0.40950270336486794,-0.016036438351587773,-0.00960515838766976,0.28721372451848926,,-0.006609575262946146,19.00619260121818,191582000.0,-0.0625893873119604,4810000.0,-1.5987525987525988
1800flowers,1084869,1 800 FLOWERS COM INC,2014,2,2014Q2,8058,,5203000.0,,,,,,267569000.0,,CashAndCashEquivalentsAtCarryingValue,,,,,,Assets,https://data.sec.gov/api/xbrl/companyfacts/CIK0001084869.json,1800flowers,"1-800-FLOWERS.COM, Inc.",FLWS,NASDAQ,direct_public,merchant_level,confirmed_or_manually_mapped_public,True,False,Apparel & Fashion,Bags & accessories,2022-01-20,2022,2022Q1,8089,official_adoption_announcement,strong,https://www.1800flowersinc.com/news-and-media/newsroom/press-releases/2022/01-20-2022-130356804,-31,0,,,,,,,,,,,
